Attack Type,Norm,c,Accuracy,Precision,Recall,F1 Score
FGSM,Linf,50.0,0.06,0.025191489361702128,0.06,0.01975
FGSM,Linf,10.0,0.06,0.025191489361702128,0.06,0.01975
FGSM,Linf,1.0,0.06,0.025191489361702128,0.06,0.01975
FGSM,Linf,0.3,0.08,0.058191489361702126,0.08,0.044823529411764707
FGSM,Linf,0.1,0.2,0.5243902439024389,0.2,0.22143009931245228
FGSM,Linf,0.05,0.51,0.5864296814296814,0.51,0.5086191098661687
FGSM,Linf,0.01,1.0,1.0,1.0,1.0
FGSM,Linf,0.001,1.0,1.0,1.0,1.0
PGD,L2,50.0,0.32,0.3575595238095239,0.32,0.2744156545209177
PGD,L2,10.0,0.32,0.3575595238095239,0.32,0.2744156545209177
PGD,L2,1.0,0.32,0.3575595238095239,0.32,0.2744156545209177
PGD,L2,0.3,0.32,0.3575595238095239,0.32,0.2744156545209177
PGD,L2,0.1,0.33,0.38005952380952385,0.33,0.29260446570972887
PGD,L2,0.05,0.41,0.450994708994709,0.41,0.37404436636634786
PGD,L2,0.01,0.96,0.9706666666666667,0.96,0.9602197802197802
PGD,L2,0.001,1.0,1.0,1.0,1.0
PGD,Linf,50.0,0.0,0.0,0.0,0.0
PGD,Linf,10.0,0.0,0.0,0.0,0.0
PGD,Linf,1.0,0.0,0.0,0.0,0.0
PGD,Linf,0.3,0.0,0.0,0.0,0.0
PGD,Linf,0.1,0.01,0.055,0.01,0.016923076923076926
PGD,Linf,0.05,0.13,0.18049729931085864,0.13,0.0987065527065527
PGD,Linf,0.01,0.96,0.9706666666666667,0.96,0.9602197802197802
PGD,Linf,0.001,1.0,1.0,1.0,1.0
PGD,L1,50.0,1.0,1.0,1.0,1.0
PGD,L1,10.0,1.0,1.0,1.0,1.0
PGD,L1,1.0,1.0,1.0,1.0,1.0
PGD,L1,0.3,1.0,1.0,1.0,1.0
PGD,L1,0.1,1.0,1.0,1.0,1.0
PGD,L1,0.05,1.0,1.0,1.0,1.0
PGD,L1,0.01,1.0,1.0,1.0,1.0
PGD,L1,0.001,1.0,1.0,1.0,1.0
PGD,L0,1.0,0.03,0.001875,0.03,0.003529411764705882
PGD,L0,0.3,0.0,0.0,0.0,0.0
PGD,L0,0.1,0.26,0.26563948332369386,0.26,0.2100594901670942
PGD,L0,0.05,0.67,0.7054177323103156,0.67,0.635867468633082
PGD,L0,0.01,1.0,1.0,1.0,1.0
PGD,L0,0.001,1.0,1.0,1.0,1.0
CW,L2,50.0,0.0,0.0,0.0,0.0
CW,L2,10.0,0.0,0.0,0.0,0.0
CW,L2,1.0,0.05,0.0030303030303030303,0.05,0.005714285714285714
CW,L2,0.3,0.06,0.0036,0.06,0.00679245283018868
CW,L2,0.1,0.06,0.0036,0.06,0.00679245283018868
CW,L2,0.05,0.06,0.0036,0.06,0.00679245283018868
CW,L2,0.01,0.06,0.0036,0.06,0.00679245283018868
CW,L2,0.001,0.06,0.0036,0.06,0.00679245283018868
CW,Linf,50.0,0.02,0.005957446808510638,0.02,0.009180327868852459
CW,Linf,10.0,0.02,0.006666666666666666,0.02,0.01
CW,Linf,1.0,0.0,0.0,0.0,0.0
CW,Linf,0.3,0.0,0.0,0.0,0.0
CW,Linf,0.1,0.0,0.0,0.0,0.0
CW,Linf,0.05,0.0,0.0,0.0,0.0
CW,Linf,0.01,0.0,0.0,0.0,0.0
CW,Linf,0.001,0.0,0.0,0.0,0.0
CW,L1,50.0,0.0,0.0,0.0,0.0
CW,L1,10.0,0.01,0.0006315789473684211,0.01,0.001188118811881188
CW,L1,1.0,0.06,0.0036,0.06,0.00679245283018868
CW,L1,0.3,0.06,0.0036,0.06,0.00679245283018868
CW,L1,0.1,0.06,0.0036,0.06,0.00679245283018868
CW,L1,0.05,0.06,0.0036,0.06,0.00679245283018868
CW,L1,0.01,0.06,0.0036,0.06,0.00679245283018868
CW,L1,0.001,0.06,0.0036,0.06,0.00679245283018868
CW,L0,1.0,0.0,0.0,0.0,0.0
CW,L0,0.3,0.0,0.0,0.0,0.0
CW,L0,0.1,0.0,0.0,0.0,0.0
CW,L0,0.05,0.0,0.0,0.0,0.0
CW,L0,0.01,0.0,0.0,0.0,0.0
CW,L0,0.001,0.0,0.0,0.0,0.0
